item_id,difficulty
Q1,0.4974909722805023
Q2,0.5012293457984924
Q3,0.49940231442451477
Q4,0.5017710328102112
Q5,0.5020740032196045
Q6,0.5015754103660583
Q7,0.5002639889717102
Q8,0.5022174119949341
Q9,0.49861669540405273
Q10,0.500484049320221
Q11,0.5010506510734558
Q12,0.4999469518661499
Q13,0.5012372136116028
Q14,0.500461995601654
Q15,0.5006390810012817
Q16,0.5001789331436157
Q17,0.49910786747932434
Q18,0.49882254004478455
Q19,0.4995962679386139
Q20,0.5002525448799133
Q21,0.49902626872062683
Q22,0.5005667805671692
Q23,0.4988558292388916
Q24,0.49958905577659607
Q25,0.49890923500061035
Q26,0.5003097057342529
Q27,0.49920380115509033
Q28,0.4986705482006073
Q29,0.49916598200798035
Q30,0.5022005438804626
Q31,0.5034510493278503
Q32,0.5007374286651611
Q33,0.5000905990600586
Q34,0.5017380714416504
Q35,0.5017220973968506
Q36,0.49974173307418823
Q37,0.5014654994010925
Q38,0.4993617534637451
Q39,0.501531720161438
Q40,0.5001564025878906
Q41,0.4990675449371338
Q42,0.5006349682807922
Q43,0.4985051453113556
Q44,0.5006392598152161
Q45,0.49981093406677246
Q46,0.49879515171051025
Q47,0.49928387999534607
Q48,0.5025568604469299
Q49,0.49982723593711853
Q50,0.4995728135108948
Q51,0.49956655502319336
Q52,0.4977591931819916
Q53,0.4983135759830475
Q54,0.5016211867332458
Q55,0.5012263655662537
Q56,0.5007119178771973
Q57,0.5014992952346802
Q58,0.4999581575393677
Q59,0.5000627636909485
Q60,0.5005367994308472
Q61,0.5004873871803284
Q62,0.4995364546775818
Q63,0.4992121756076813
Q64,0.5006289482116699
Q65,0.49781110882759094
Q66,0.5009451508522034
Q67,0.49775755405426025
Q68,0.4995196759700775
Q69,0.499038964509964
Q70,0.4994087815284729
Q71,0.4995593726634979
Q72,0.4993310570716858
Q73,0.49969255924224854
Q74,0.5007407665252686
Q75,0.5006433725357056
Q76,0.5012081265449524
Q77,0.5018572807312012
Q78,0.5005567073822021
Q79,0.49984270334243774
Q80,0.5003182291984558
Q81,0.5016824007034302
Q82,0.4999261200428009
Q83,0.5006090998649597
Q84,0.5013861656188965
Q85,0.4993698000907898
Q86,0.4993179738521576
Q87,0.4982072412967682
Q88,0.4998313784599304
Q89,0.5011720061302185
Q90,0.5002908110618591
Q91,0.5001434087753296
Q92,0.49984508752822876
Q93,0.4992481768131256
Q94,0.49803900718688965
Q95,0.5017889142036438
Q96,0.49945104122161865
Q97,0.4998948276042938
Q98,0.49957361817359924
Q99,0.49889957904815674
Q100,0.49985605478286743
